,elasticity.poisson_ratio,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill
mp-30068,-0.08,14.0,5.0,9.0,4.0,5.0,5.0
mp-570223,-0.08,20.0,21.0,20.0,11.0,11.0,11.0
mp-1025524,-0.07,79.0,84.0,81.0,41.0,48.0,44.0
mp-11484,-0.07,542.0,12.0,277.0,153.0,153.0,153.0
mp-775001,-0.06,11.0,13.0,12.0,6.0,7.0,7.0
mp-8936,-0.06,6.0,14.0,10.0,2.0,10.0,6.0
mp-975425,-0.06,94.0,99.0,96.0,53.0,53.0,53.0
mp-571124,-0.06,5.0,11.0,8.0,4.0,4.0,4.0
mp-1002083,-0.06,4.0,5.0,4.0,2.0,3.0,3.0
mp-554089,-0.06,33.0,38.0,35.0,20.0,20.0,20.0
mp-21139,-0.06,32.0,37.0,35.0,15.0,24.0,19.0
mp-1006112,-0.06,30.0,1.0,15.0,9.0,9.0,9.0
mp-6058,-0.05,26.0,28.0,27.0,16.0,16.0,16.0
mp-985285,-0.05,12.0,13.0,12.0,7.0,7.0,7.0
mp-764744,-0.05,28.0,46.0,37.0,16.0,26.0,21.0
mp-24292,-0.05,30.0,31.0,30.0,17.0,17.0,17.0
mp-631316,-0.05,30.0,30.0,30.0,17.0,17.0,17.0
mp-972119,-0.05,38.0,40.0,39.0,23.0,23.0,23.0
mp-551758,-0.05,57.0,2.0,30.0,17.0,17.0,17.0
mp-766784,-0.04,10.0,12.0,11.0,6.0,7.0,6.0
mp-865755,-0.04,22.0,24.0,23.0,14.0,14.0,14.0
mp-561543,-0.04,14.0,14.0,14.0,8.0,8.0,8.0
mp-9056,-0.03,10.0,21.0,15.0,7.0,12.0,9.0
mp-770068,-0.03,367.0,21.0,194.0,117.0,119.0,118.0
mp-557397,-0.03,15.0,16.0,16.0,10.0,10.0,10.0
mp-1007778,-0.03,109.0,110.0,110.0,67.0,67.0,67.0
mp-6930,-0.03,42.0,46.0,44.0,27.0,27.0,27.0
mp-6204,-0.02,30.0,30.0,30.0,19.0,19.0,19.0
mp-23164,-0.02,44.0,12.0,28.0,12.0,23.0,17.0
mp-28698,-0.02,16.0,28.0,22.0,6.0,21.0,14.0
mp-865378,-0.02,437.0,16.0,226.0,141.0,141.0,141.0
mp-642363,-0.01,553.0,45.0,299.0,182.0,205.0,193.0
mp-557837,-0.01,27.0,34.0,30.0,16.0,23.0,19.0
mp-11390,-0.01,46.0,46.0,46.0,30.0,30.0,30.0
