,,minLC,maxLC,minNu,maxNu,G_Voigt_Reuss_Hill,K_Voigt_Reuss_Hill
1,mp-644607,32.258064516129,96.7741935483871,-0.32915075153023,1.06332065427688,1.32783631402993,4.38079975449796
2,mp-23158,1000,1000,-0.333333234940984,0,0.410079900065178,0.559453917071715
3,mp-768680,-2.07257429804384,502.072574321326,-1.55799483018046,2.07137706431231,4.66514200354571,8.17799017590641
4,mp-23280,0,1000,-0.358570104610719,1.33333333200054,0.575979410754792,1.13554155782213
5,mp-995197,-216.15769270244,379.631511772398,-1.84129381785432,1.46960471103103,5.04495257862885,10.2495927635446
6,mp-25,250,250,0.0000000277921134028554,0.499999999451208,0.663658476862241,1.30988368640705
7,mp-118,142.857142857143,285.714285714286,0.0762771269635202,0.461861467858386,0.60427200691922,1.38468730107103
8,mp-29419,-84.1484361045334,285.291642218313,-1.94863152021949,2.84553169885143,1.75371909823977,7.03372831037746
9,mp-557559,-207.106781186548,1207.10678118655,-0.614482838118628,1.5820964174283,0.66801674360122,1.23406632588953
10,mp-30930,142.857142857143,1000,-0.227492395737674,0.5,0.745333834428117,0.745587469282533
11,mp-567967,-0.417443537188131,347.826086956522,-0.529413179563018,1.25053978186397,1.29542501517372,2.31470163961563
12,mp-30952,0,1000,-0.252102767527976,1.10936934329757,0.922441891948965,1.31363069316867
13,mvc-15744,-40.8107650982824,52.198589807532,-1.45583948890669,2.49535255271158,6.82540723897947,90.9730505779455
14,mp-7,166.666666666667,333.333333333333,-0.142857142062363,0.57142857142857,0.985994630285689,1.33943526523039
15,mp-23288,153.846153846154,384.615384615385,-0.333333333333333,0.666666412719796,0.887351558150546,1.21940777865674
16,mp-570722,7.04225352112676,330.985915492958,0.0105263171165637,0.511248242688611,2.27068119996546,3.56759959046636
17,mp-30954,250,1000,-0.207106781186547,0.146446607794397,0.90287453424504,0.869113716122148
18,mp-570922,33.3333333333333,1000,-0.0808243250632257,0.764705875791706,3.12046024466394,3.76921638655178
19,mp-30953,-39.9999995531719,400,-0.587810481904328,1.00860212419546,1.12366325510875,1.69051125908062
20,mp-990448,1.11607142857143,1000,-0.00126137755907365,0.175853017817738,78.3440359473438,99.8171106001229
21,mp-540789,-6.93889390390723E-015,500,0.0816209219646142,0.749999999689499,2.17743086572413,3.98390475058245
22,mp-27462,15.1515151515152,242.424242424242,0.0153846153846154,0.922330047616017,3.94746924684306,7.91587157713737
23,mp-2800,2.86532951289392,2.86532951289398,-1.69191057573379,2.58573852346747,9.84762369243847,116.559383358725
24,mp-23317,85.7142857142857,400,-0.63636363505476,0.545454544029648,1.14037920946918,1.29863285134698
25,mp-23229,8.17438692098093,193.460490463215,0.0266666666666667,0.719571808466584,7,11
26,mp-28683,11.6731517509728,392.996108949416,-0.2,0.599999998218991,3,4
27,mp-28753,5.61797752808988,494.38202247191,0.0111111111111111,0.458928591527112,8,11
28,mp-568584,142.857142857143,285.714285714286,0.0762772835862005,0.461861450142482,1,2
29,mp-962064,90.9090909090909,90.9090909090909,0.374999999999999,0.375,1,4
30,mp-8560,55.5555555555556,55.5555555555556,0.0327868860109332,0.770491762486313,2,6
31,mp-22966,100,200,0.24502964531105,0.5,1.06572729944689,2.40362171866395
