,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mp-768680,-2.072574298043838,502.07257431639596,-1.5579948301804623,2.071377064312309,8.177990175906412,0.671806632294954,58.91541099715807,0.19363104939119044,16.011211811638795
mp-995197,-216.15769285939652,379.63151177239774,-1.8412938178543092,1.4696047110310326,10.249592763544577,0.7777505486504052,129.19259662781207,0.2151343176455116,5.777929504716634
mvc-15744,-40.8107651256544,52.19858980753178,-1.4558394889066855,2.495352555348545,90.97305057794549,0.9848100483899284,63.96548990409122,0.2755643236020377,28.115008358981036
mp-990448,1.1160714285714284,1000.0,-0.001261377559073646,0.17585301781773835,99.81711060012286,1.0,738.4356955380578,0.9986476173657373,313.9999590099738
mp-962064,90.90909090909085,90.90909090909093,0.3749999999999995,0.3750000000000003,4.0,2.749999999999999,2.750000000000001,0.9999999999999998,1.0000000000000004
mp-760482,23.255813953488385,441.86046511627904,0.04166686874735726,0.777777758426247,2.305929163647058,1.7916666666666667,8.852791875886128,0.9148936190444075,3.9999949632836054
mp-1029037,3.749399456654644e-30,1000.0,-0.0040825628103471736,0.7854545454321333,19.831040065382812,0.9881656804733727,131.1709090909091,0.9693501141595308,53.99999675591749
mp-768036,6.600660066006601,75.9075907590759,0.00714285714285714,0.8763716036926764,22.2354346939373,3.6741893151914895,133.66111430212524,1.0,63.99999951389649
mp-27954,-1.2936610608020698,143.59637774902984,-0.4625327383025954,1.1269740680749538,10.03433098226614,1.740990990990991,110.42857142857142,0.5000000507140336,3.000000000000001
mp-1028698,4.716981132075472,330.188679245283,0.007042253521126758,0.6101731120651289,17.61733658094562,2.6627848609577347,114.33707865168542,1.0,47.99999820896441
mvc-3559,1.9006889997623784,2.811435812148571,-3.987437658301838,4.728358125874222,152.0542344335223,1.9938417811464146,192.77862595419845,0.5000000035506776,51.00000000000001
mp-1027890,8.673617379884055e-16,499.99999999999994,0.012048192771084333,0.763358778625904,19.637068537834594,1.951807228915663,123.66412213740462,1.0,49.99999996439114
mp-561367,29.278399287353555,119.8928714474878,-0.42960790638494367,1.2199129963635762,5.301289791968937,1.402069434914235,11.424647401047146,0.3819660118826351,4.1565059613577455
mp-1001788,1.858736059479554,1.8587360594795543,0.0009020182872384794,0.9916939070509447,179.27388186159283,2.994434138352268,432.595918367347,1.0,196.99793660674962
mp-28480,4.357298474945533,141.61220043572987,-0.011298882763780002,0.8228204130914945,25.850810378776487,3.329743598407913,148.9249418033152,0.9829451983181116,60.016944261627216
mp-568806,1.1577902745616935,167.05259675818724,-0.0009920634920634924,0.8070495163734288,114.95600056963441,3.3300895621986792,830.2812682357521,1.0,352.999985019525
mp-675926,-4.172168408753968,326.9743657566474,0.008246433642327449,0.8307782321380893,6.166568239422423,2.174424407780466,26.048653505534457,0.814884297158842,10.10977145319745
mp-865015,1.6051364365970986,1.6051364365971543,-1.9461542183855944,2.793920636657648,207.77205014423112,2.9951923076923075,215.04114634529427,1.0000000548980028,81.00000000000003
mp-984719,3.3444816053511404,3.3444816053511683,-1.4835085743274443,2.3013198031421234,99.9151027465889,2.990000000000001,128.5100120560303,1.0000000544725443,50.000000000000014
mp-1025575,3.8461538461538463,496.1538461538462,0.007633587786259539,0.4661080053995009,15.704286477003796,1.984732824427481,104.23963133640552,1.0,43.49999997949994
mp-753195,13.888888888888884,236.11111111111111,0.01844987941609453,0.6679021643675059,6.513499580663732,2.9010989029745327,34.971428571428575,1.0,16.999999634532927
mp-1027164,3.333333333333332,496.66666666666663,0.006622516556291389,0.4634276562923262,18.051372464176122,1.9867549668874174,111.71548117154813,1.0,44.4999999976642
mvc-13239,-6.894239999682528,96.93886122989716,-0.27580963031293476,1.0229994412437275,8.43487264638681,2.738869991443284,46.7065566815829,0.8114989807851857,9.46881414067704
mp-675271,-97.7283839458172,226.3154159829967,-0.3675168722400695,1.538762825308989,11.916268182321037,1.5343415533461298,31.388278910414034,0.600076215319795,9.701079739527184
mp-753746,-20.833333333333353,562.5000000000001,-0.0982385313355754,1.3296898972113822,5.374945445665241,1.4545454545454544,21.661763367404433,1.1561171483320498,9.612589667633705
mp-766879,12.66431841526372,144.32138817193191,-0.19200400503080053,0.9600302133004768,4.907959104702929,2.107721195373584,16.583089893951165,0.68634922312643,5.73801143751373
mp-978798,10.242792109256378,13.277693474962067,-1.5131479482898131,2.254863767847792,30.0,1.9656972408650217,52.24112303881091,0.5000000008464797,23.999999957619902
mp-676518,3.66300366300366,194.1391941391941,0.026872887316837474,0.7508197213094203,10.0,3.1370693479768796,47.47826086956521,1.0,20.999977197873093
mp-973561,4.878048780487804,4.878048780487806,0.028825119536093916,0.9521296633739535,68.0,2.9854368951132675,50.90604026845638,1.0,18.499982004624783
mp-977565,4.405286343612314,4.405286343612342,-0.8154470860076451,1.9549824649580063,76.0,2.98684210526315,77.14452535740278,1.0000000536675282,29.000000000000007
mp-976408,-83.33333333333343,270.8333333333335,-0.7978038900192269,2.2707274055411673,17.0,0.9056603773584904,31.481422898038947,0.46783625950354957,19.000000000000007
mp-866291,11.627906976744177,11.627906976744207,-0.4189188480704127,1.3243239202609909,28.0,2.9655172413793105,19.419354800266984,1.0000002910694012,7.000000000000002
mp-974810,8.695652173912993,8.695652173913048,-0.71848218045873,1.7338628395976547,38.0,1.4935064935064946,25.04032136607476,0.5000000262481084,9.000000000000004
mp-867250,3.8167938931297214,3.816793893129722,-2.4250401924300657,3.1595197676660667,87.27384533986204,1.4971428571428533,154.30670001222694,0.500000027574987,64.00000000000001
mp-7581,3.717472118959107,330.85501858736063,0.005555555555555553,0.6144521559557186,21.784824189586853,2.6634472511144125,137.88558352402748,1.0,55.999999628670935
mp-765967,20.186173238176256,135.3449498026869,-0.10267681090852383,0.8729858258874204,4.854286604514323,2.853068245869422,16.696550742041186,0.9421637474207581,5.630334662633624
mp-33107,41.66666666666666,125.0,-0.46666659545738814,0.7333331677990841,3.558809470848428,3.428571428571429,6.222222219738179,1.3333333336928976,5.49999996603664
mp-862815,4.081632653061189,4.081632653061246,-0.731064185568237,1.762060374846422,81.86717587026982,2.9878048780487725,52.89772455422707,1.0000000526587398,19.000000000000007
mp-25587,-61.85946896927323,89.15542841706387,-3.4336102199944087,4.869759300448049,70.63441959259363,2.0880387087180727,221.46876346886572,0.6729906659805225,94.85709219493862
mp-757100,4.058853373921866,6.003720615592761,-1.0542833860832461,1.010658749946858,71.13566153262028,3.5496135193571794,141.95693070244099,0.9286623047775195,55.184244526827676
mp-1030827,4.926108374384236,330.04926108374383,0.007352941176470585,0.6062431884087166,16.993759423953577,2.6623859817570805,103.65957446808513,1.0,41.9999997923933
mp-766158,5.96529284164859,127.98264642082432,-0.4999999999999999,0.908050110884822,14.069845606461076,2.974137936189122,153.66666666666666,1.0,11.222653262935015
mp-765906,1.1015407007602673,70.86126700946701,-0.2989850914217777,1.0096617763504872,45.6024805179378,5.106404467334842,242.85030365233223,1.435433717076033,91.8602388485843
mp-1029336,-12.348957641747468,42.889390519187494,-2.4126942622418412,3.238095238095243,36.21947728705375,1.5171232876712306,119.5396825396825,0.4176927351754314,26.93432853592891
mp-766154,45.04504504504504,63.06306306306307,0.11761917119111998,0.5461909758214842,5.939245848589032,4.624999999999999,8.92462311557789,1.5000000037676915,3.9999999953901684
mp-35035,8.966344635979048,30.750773505083032,-0.31625505373273094,1.0668721472065703,15.262217772876102,3.738853934048014,25.91980360065466,1.0000000255350645,11.044228093578512
mp-780260,2.3148148148148135,164.35185185185182,-0.008339454838747705,0.8085256737630813,28.40081002620044,3.243663484965843,154.13885995299088,0.9831089201051281,60.016944280278636
mp-997042,-54.13223140495868,270.6611570247934,-0.12783268263335312,2.0048845160609985,17.065849564714664,2.2986212852685575,121.0,1.204416808617031,26.939765027889695
mp-997182,1.2272950417280315,250.61364752086402,-0.0009813542688910703,0.4587748497684671,115.03190534736896,3.9980363252291595,840.8717209570481,2.0,357.99994844530954
mp-690526,4.8557975279576215,195.44028263588794,-0.011040272781314324,0.7491418001019147,15.0,3.141390449158485,101.68578553615961,0.9902587593254063,38.5254953616211
mp-772598,18.587360594795538,1148.6988847583643,-5.495636243620859,-0.013278535112747528,33.0,0.8936877076411961,250.1154693072431,0.9147194938898493,117.03772242135952
mp-937760,1.1195565582501885,167.0403592316261,-1.9510389688157639,2.3553353478241763,118.82404859620911,3.3302089490366082,863.8674676177961,1.0000001373772276,368.4995194930903
mp-977207,15.077424612876921,17.929910350448246,0.021292775666495376,0.8661596957062709,20.58134217160144,7.46463878326996,42.310344827586206,2.000000001035147,6.123518377908454
mp-985584,14.70588235294117,14.705882352941178,0.040816327153103765,0.8503400915479876,22.476869374615355,5.828571430339068,38.85714285714286,2.0,15.999993774569262
mp-626785,8.269930532583524,20.44326827654648,-0.9868440622213064,1.7369549950486238,25.137562406322928,3.792944177279216,48.56224899598393,1.0000001353636376,18.999999999999932
