,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mp-644607,32.25806451612906,96.77419354838719,-0.32915075153022966,1.0633206542768772,4.380799754497961,1.6315789473684208,7.886877814079517,0.5000000013643373,3.9999997368912497
mp-23158,1000.0,1000.0,-0.3333332349409845,0.0,0.5594539170717152,1.0,1.499999999490442,0.5000000848952316,1.0000000000000002
mp-768680,-2.072574298043838,502.07257431639596,-1.5579948301804623,2.071377064312309,8.177990175906412,0.671806632294954,58.91541099715807,0.19363104939119044,16.011211811638788
mp-23280,0.0,1000.0,-0.35857010461071875,1.3333333320005405,1.1355415578221342,0.3333333333333333,2.374999983013011,0.16666667604195254,1.0000000000000002
mp-995197,-216.1576927024398,379.63151177239797,-1.8412937835171792,1.4696047110310329,10.249592763544577,0.7777505486504043,129.19259662781116,0.2151343141660792,5.777929504716631
mp-25,249.99999999999994,250.0,2.7792113458366534e-08,0.49999999945120777,1.3098836864070464,1.3333333333333333,2.399999994774717,0.5000000848952316,1.0000000000000002
mp-118,142.8571428571429,285.7142857142857,0.07627706572872141,0.46186146785838633,1.3846873010710288,1.4,2.499999999012699,0.5000000059580653,1.0000000000000002
mp-29419,-84.14843610453357,285.29164221831303,-1.94863152021949,2.8455316988514254,7.033728310377458,0.4228749781449454,17.111268117846432,0.14962939500571745,4.404937048290669
mp-557559,-207.10678118654747,1207.1067811865476,-0.6144828381186281,1.5820964172298293,1.2340663258895341,0.23882906505681079,3.1517331799616777,0.10961181741557893,1.2423854583528038
mp-30930,142.85714285714286,1000.0,-0.22749239573767432,0.5,0.7455874692825335,1.0,3.5,0.6363636374684336,1.0000000000000002
mp-567967,-0.4174435371881169,347.82608695652164,-0.5294131795630181,1.2505397818639719,2.314701639615634,1.3142857142857145,14.753306611161738,0.4575706619874597,2.4271218880110865
mp-30952,0.0,1000.0,-0.2521027675279762,1.109369343297572,1.3136306931686745,0.6315789473684211,5.537406755083534,0.3333333587120576,1.9999999817850591
