,minLC,maxLC,minNu,maxNu
mp-571279,-1000.0,-1000.0,-1000.0,-1000.0
mp-558928,-1000.0,-1000.0,-1000.0,-1000.0
mp-558149,-1500.0,-1500.0,-1500.0,-1500.0
mp-571143,-1000.0,-1000.0,-1000.0,-1000.0
mp-30930,142.85714285714286,1000.0,-0.22749239573767432,0.5
mp-27989,-1000.0,-1000.0,-1000.0,-1000.0
mp-27734,-1000.0,-1000.0,-1000.0,-1000.0
mp-27979,-1000.0,-1000.0,-1000.0,-1000.0
mp-23856,-1000.0,-1000.0,-1000.0,-1000.0
mp-23205,-1000.0,-1000.0,-1000.0,-1000.0
mp-752401,-1000.0,-1000.0,-1000.0,-1000.0
mp-27976,-1000.0,-1000.0,-1000.0,-1000.0
mp-753371,-1000.0,-1000.0,-1000.0,-1000.0
mp-29015,-1000.0,-1000.0,-1000.0,-1000.0
mp-27455,-1000.0,-1000.0,-1000.0,-1000.0
mp-567967,-0.41744353718813076,347.8260869565218,-0.529413179563018,1.2505397818639719
mp-9813,-1000.0,-1000.0,-1000.0,-1000.0
mp-769218,-1000.0,-1000.0,-1000.0,-1000.0
mp-30952,0.0,999.9999999999999,-0.2521027675279762,1.109369343297572
mp-224,-1500.0,-1500.0,-1500.0,-1500.0
mp-22872,-1500.0,-1500.0,-1500.0,-1500.0
mvc-15744,-40.81076509828244,52.198589807532,-1.4558394889066906,2.495352552711579
mp-7,166.6666666666667,333.3333333333333,-0.14285714206236266,0.5714285714285702
mp-23288,153.84615384615387,384.61538461538464,-0.3333333333333333,0.6666664127197964
mp-28306,-1000.0,-1000.0,-1000.0,-1000.0
mp-570722,7.04225352112676,330.98591549295776,0.010526317116563728,0.5112482426886111
mp-571122,-1000.0,-1000.0,-1000.0,-1000.0
mp-570506,-1000.0,-1000.0,-1000.0,-1000.0
mp-30954,250.0,1000.0,-0.20710678118654705,0.14644660779439664
mp-568233,-1000.0,-1000.0,-1000.0,-1000.0
mp-570922,33.333333333333336,1000.0,-0.08082432506322564,0.7647058757917056
mp-909,-1000.0,-1000.0,-1000.0,-1000.0
mp-23264,-1000.0,-1000.0,-1000.0,-1000.0
mp-866066,-1000.0,-1000.0,-1000.0,-1000.0
mp-22883,-1000.0,-1000.0,-1000.0,-1000.0
mp-30953,-39.99999955317194,399.9999999999999,-0.5878104819043284,1.008602124195462
mp-27440,-1500.0,-1500.0,-1500.0,-1500.0
mp-28357,-1500.0,-1500.0,-1500.0,-1500.0
mp-28938,-1000.0,-1000.0,-1000.0,-1000.0
mp-567503,-1000.0,-1000.0,-1000.0,-1000.0
mp-27396,-1000.0,-1000.0,-1000.0,-1000.0
mp-990448,1.1160714285714284,1000.0,-0.001261377559073646,0.17585301781773835
mp-684692,-1500.0,-1500.0,-1500.0,-1500.0
mp-540789,-6.938893903907227e-15,500.0000000000001,0.08162092196461423,0.7499999996894993
mp-765271,-1000.0,-1000.0,-1000.0,-1000.0
mp-27462,15.151515151515149,242.42424242424244,0.01538461538461538,0.9223300476160168
mp-23153,-1000.0,-1000.0,-1000.0,-1000.0
mp-22853,-1000.0,-1000.0,-1000.0,-1000.0
mp-22881,-1000.0,-1000.0,-1000.0,-1000.0
mp-2800,2.865329512893921,2.865329512893977,-1.6919105757337862,2.585738523467475
mp-23317,85.7142857142857,400.0000000000001,-0.6363636350547596,0.5454545440296478
mp-27507,-1500.0,-1500.0,-1500.0,-1500.0
mp-29950,-1000.0,-1000.0,-1000.0,-1000.0
mp-7988,-1000.0,-1000.0,-1000.0,-1000.0
