,minLC,maxLC,minNu,maxNu,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill,elasticity.poisson_ratio
mp-36248,90.9090909090909,90.90909090909093,-0.31250000000000017,0.06319701011833724,11.64705882628648,17.875,5.999999999999998,12.999999156972645,8.0,9.0,8.0,4.0,4.0,4.0,-0.15
mp-989580,31.25,31.250000000000007,-0.17948717948717957,-0.06504961928029651,38.03773586372097,43.48717948717948,20.999999999999996,26.49999961421901,23.0,23.0,23.0,11.0,11.0,11.0,-0.14
mp-1008752,37.037037037037024,37.03703703703705,-0.44897959183673486,0.2329976241375717,23.44736846018241,51.24489795918367,10.999999999999996,46.499991658578,15.0,25.0,20.0,9.0,9.0,9.0,-0.14
mp-975383,142.85714285714283,142.85714285714292,-0.5942028671515607,0.31884057727907394,4.666666666666666,12.833333318074896,2.00000055567794,11.000000000000004,4.0,8.0,6.0,3.0,3.0,3.0,-0.14
mp-1008282,8.771929824561402,8.771929824561404,-0.24603946789230385,-0.04201680672268906,123.57983193277309,158.09433959264277,64.50000122554708,98.00000000000003,81.0,85.0,83.0,38.0,38.0,38.0,-0.13
mp-10056,5.5972119547998735,5.676417784348927,-0.1862673483912192,-0.06382978723404253,201.46808510638297,230.08529682478385,113.02051598098281,135.99999999952234,129.0,130.0,129.0,59.0,59.0,59.0,-0.13
mp-2639,71.42857142857142,71.42857142857143,-0.4615384615384616,0.2962962675322514,11.05263158337389,26.923076923076923,4.999999999999998,24.999994441578767,7.0,13.0,10.0,5.0,5.0,5.0,-0.13
mp-27718,45.45454545454545,45.45454545454547,-0.1538461538461539,-0.05793451326470001,25.666666675182352,28.76923076923077,13.999999999999998,16.999998762955496,15.0,15.0,15.0,7.0,7.0,7.0,-0.12
mp-774922,25.931566384845507,88.79012614796031,-0.5876800860629638,0.12223593263458926,13.684038612318087,45.6760114742011,8.813153696178235,25.4763571763422,12.0,15.0,13.0,5.0,7.0,6.0,-0.12
mp-989532,45.45454545454545,45.45454545454547,-0.31250000000000017,0.15322568280107055,20.62500002374772,35.75,9.999999999999996,25.999997687696474,13.0,16.0,14.0,7.0,7.0,7.0,-0.11
mp-6074,11.11111111111111,11.111111111111112,-0.37500000000000017,0.20229005303072323,80.15625001404413,157.50000000000003,38.0,125.99998378111047,52.0,73.0,63.0,30.0,30.0,30.0,-0.11
