,minLC,maxLC,minNu,maxNu,elasticity.K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.poisson_ratio
mp-975368,14.285714285714235,14.285714285714345,-0.7454544753404362,1.731993936813117,24.0,1.4893617021276602,26.24999865739378,0.500000026402509,10.000000000000002,0.0,6.0,3.0,24.0,24.0,0.43
mp-1016442,-1892.6940639269726,5073.059360730678,-6.939971013904537,9.715479928494114,15.0,0.10554216867469704,63.409112463382385,0.05578907148503109,21.99999999991448,0.0,16.0,8.0,1.0,29.0,0.27
mp-974743,6.493506493506384,6.493506493506441,-0.14917120656988145,1.1270718221065419,51.0,1.4951456310679567,5.9230768691106475,0.5000001273428573,2.0000000000000004,0.0,1.0,1.0,51.0,51.0,0.49
mp-975994,13.157894736842037,13.157894736842144,-0.8224298389572285,1.9121927705869373,25.0,1.4901960784313708,37.58241478206575,0.5000001641308068,15.000000000000005,0.0,9.0,5.0,25.0,25.0,0.41
mp-980006,6.756756756756631,6.7567567567568,-1.3134466639927682,2.1648539737371126,49.0,1.4949494949494957,52.857137270146396,0.5000000270973121,20.000000000000004,0.0,12.0,6.0,49.0,49.0,0.44
