,minLC,maxLC,minNu,maxNu,elasticity.K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.poisson_ratio
mp-975368,14.285714285714235,14.285714285714345,-0.7454544753404362,1.731993936813117,24.0,1.4893617021276602,26.24999865739378,0.500000026402509,10.000000000000002,0.0,6.0,3.0,24.0,24.0,0.43
mp-1016442,-1892.6940639269726,5073.059360730678,-6.939971013904537,9.715479928494114,15.0,0.10554216867469704,63.409112463382385,0.05578907148503109,21.99999999991448,0.0,16.0,8.0,1.0,29.0,0.27
mp-974743,6.493506493506384,6.493506493506441,-0.14917120656988145,1.1270718221065419,51.0,1.4951456310679567,5.9230768691106475,0.5000001273428573,2.0000000000000004,0.0,1.0,1.0,51.0,51.0,0.49
mp-975994,13.157894736842037,13.157894736842144,-0.8224298389572285,1.9121927705869373,25.0,1.4901960784313708,37.58241478206575,0.5000001641308068,15.000000000000005,0.0,9.0,5.0,25.0,25.0,0.41
mp-23158,1000.0,1000.0,-0.3333332349409845,0.0,1.0,1.0,1.499999999490442,0.5000000848952316,1.0000000000000002,0.0,0.0,0.0,1.0,1.0,0.21
mp-644607,32.258064516129004,96.77419354838722,-0.3291507515302296,1.063320655134232,4.0,1.6315789473684208,7.886877814079517,0.5000000013643373,3.9999997368912497,0.0,2.0,1.0,4.0,4.0,0.36
mp-980006,6.756756756756631,6.7567567567568,-1.3134466639927682,2.1648539737371126,49.0,1.4949494949494957,52.857137270146396,0.5000000270973121,20.000000000000004,0.0,12.0,6.0,49.0,49.0,0.44
mp-610917,83.33333333333337,166.66666666666669,0.1408775039077185,0.5727485603340924,2.0,1.5,2.666666666666667,0.5000000004330549,1.0000000000000002,0.0,1.0,1.0,2.0,2.0,0.38
mp-7615,1999.9999999999989,3249.9999999999986,-1.5000000000000004,-0.5853659915749893,0.0,0.7804878048780491,2.000000000000001,3.555555902981377,14.999999983640494,7.0,10.0,9.0,0.0,0.0,-0.85
